,평일통행량,총인구수 (명),ratio,행정구역별
서울,9627691,9588711,10.04065197084363,서울
부산,2159357,3369704,6.408150389470411,부산
대구,911206,2406296,3.7867577388650444,대구
인천,1338555,2936214,4.5587787538646705,인천
광주,373329,1444787,2.5839725855783584,광주
대전,449854,1457619,3.0862248639733703,대전
울산,254865,1128163,2.2591150392274875,울산
세종,43265,361396,1.1971632226145281,세종
경기,5016727,13479798,3.721663336498069,경기
강원,146891,1536175,0.9562126710823962,강원
충북,190220,1596303,1.1916284063865068,충북
충남,271870,2116452,1.2845554730275008,충남
전북,197318,1796331,1.0984501186028632,전북
전남,194426,1844148,1.0542863154150317,전남
경북,270380,2635896,1.0257612591695575,경북
경남,587494,3329623,1.7644460048479962,경남
제주,148335,674484,2.1992367498710124,제주
